"","all_stem_den","big_stem_bas","can_covr_mea","can_heig_mea","ELT"
"1",11016.5982182717,29.1041878768893,92.2,22.6,"do"
"2",3199.98032905724,25.9230362596914,92.72,22.9,"do"
"3",7974.6286218141,29.470876732712,94.28,24.3,"do"
"4",15294.414859717,27.0408704675386,97.92,18.9,"do"
"5",17180.686987979,36.1928792387814,97.92,26,"dm"
"6",7017.91077083036,27.6637559714935,91.68,26.8,"wm"
"7",26317.7187996101,38.0889360952306,92.2,15.5,"do"
"8",10458.7868783719,26.9177793875793,94.28,29,"dm"
"9",5365.82869943129,25.7800043073068,99.48,27.7,"wm"
"10",21003.0879108331,13.8733162346307,99.48,21.2,"do"
"11",5949.90951682034,35.89125029368,97.4,24.2,"dm"
"12",20158.9946071999,19.8352748844859,92.72,21,"dm"
"13",12813.3327594717,16.9030170725977,89.08,12.6,"do"
"14",8877.01932538693,38.192311457436,97.4,24.65,"do"
"15",8100.61143196334,18.5536847051453,97.92,24.5,"wm"
"16",13376.1148090046,18.0411249902107,94.28,26.1,"dm"
"17",7160.82822864302,22.7667006030229,2.76,25.3,"do"
"18",27098.1501260065,23.1893844467069,98.44,19.3,"do"
"19",10749.4861427422,21.3450348500274,97.4,19.9,"do"
"20",19115.4746382468,24.5946432766857,90.64,20.65,"do"
"21",3626.181703068,37.7496149528807,95.84,39.4,"dm"
"22",12482.1648390414,34.7777723392591,90.64,22,"do"
"23",12747.9357702467,23.063846033362,99.48,20.6,"do"
"24",4766.6014268112,19.451376380296,97.92,26.5,"dm"
"25",6854.98250904172,19.2731126164931,94.28,28.6,"dm"
"26",4015.1218665526,29.1217597305975,95.32,23,"dm"
"27",10748.1449984179,35.9787963035477,91.16,26,"dm"
"28",30600.9000183525,26.8736882293053,93.24,27.1,"dm"
"29",31500.6084332768,20.0858622444984,91.16,27,"do"
"30",4498.14820695739,23.7956574516407,95.84,25.7,"dm"
"31",8189.20174236509,45.05640613987,93.24,30.1,"dm"
"32",7530.33592548107,26.4877339650717,50.08,25.9,"do"
"33",11090.0420734424,28.8994341765213,96.88,17.9,"do"
"34",5601.30672017445,39.0793327590258,91.16,27.5,"dm"
"35",15536.5986020815,48.1834325319132,88.04,28.1,"wm"
"36",20287.6597059977,25.2129277938758,92.2,23.5,"wm"
"37",3350.89147237147,36.1829136972355,98.44,22.1,"do"
"38",7313.08051628152,33.735482418357,93.24,30,"dm"
"39",4881.46121470222,21.4741365807816,96.36,25.9,"wm"
"40",706.040194565453,19.1702071422978,92.72,30.7,"wm"
"41",25250.6116418163,53.2063004150677,94.8,25.5,"wm"
"42",8764.84182614447,39.1519989819093,94.8,30.7,"dm"
"43",18382.9804965266,24.5330226851489,90.9866666666667,18.9666666666667,"do"
"44",4028.92717745937,22.1706672409742,96.36,29.1,"wm"
"45",17514.1433293939,15.3533753622053,98.96,30.1,"wm"
"46",8889.48349196943,21.1822676012217,98.96,23.6,"do"
"47",3555.68271498852,28.5428185449135,96.88,30.75,"dm"
"48",14417.3463569732,42.3969672644686,97.92,20.3,"dm"
"49",4982.51569168647,31.4425039809956,95.4933333333333,27.9333333333333,"wm"
"50",10381.3195902284,31.7958630276451,93.76,29.3,"dm"
"51",8099.27028763906,40.3148249667163,94.8,25.1,"wm"
"52",13399.7019978453,56.4112499021067,87,32,"wm"
"53",13295.9652322125,29.9391592920354,97.92,23.5,"do"
"54",14722.7982089105,16.7513998746965,95.32,13.6,"wm"
"55",16610.4114814968,16.3420197352964,97.92,18.4,"do"
"56",13037.2938902927,9.68955086537708,80.76,15.2,"wm"
"57",14753.4849870366,44.5225937818153,95.84,29,"dm"
